university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,wikidata_entity,wikidata_country,award,city_id,country_id,region_id,research_output_id
Massachusetts Institute of Technology (MIT) ,2017,1,100.0,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4.0,"3,730",M,"3,065",http://www.wikidata.org/entity/Q49108,http://www.wikidata.org/entity/Q30,2017:1,CityCambridgeUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Stanford University,2017,2,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3.0,"3,879",L,"4,725",http://www.wikidata.org/entity/Q41506,http://www.wikidata.org/entity/Q30,2017:2,CityStanfordUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Harvard University,2017,3,98.3,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5.0,"5,877",L,"4,646",http://www.wikidata.org/entity/Q13371,http://www.wikidata.org/entity/Q30,2017:3,CityCambridgeUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Cambridge,2017,4,97.2,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4.0,"7,925",L,"5,800",http://www.wikidata.org/entity/Q35794,http://www.wikidata.org/entity/Q145,2017:4,CityCambridgeUnitedKingdom,CountryUnitedKingdom,RegionEurope,Veryhigh
California Institute of Technology (Caltech),2017,5,96.9,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2.0,692,S,968,http://www.wikidata.org/entity/Q161562,http://www.wikidata.org/entity/Q30,2017:5,CityPasadenaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Oxford,2017,6,96.8,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3.0,"8,442",L,"6,708",http://www.wikidata.org/entity/Q34433,http://www.wikidata.org/entity/Q145,2017:6,CityOxfordUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
UCL,2017,7,95.6,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5.0,"21,824",XL,"7,195",http://www.wikidata.org/entity/Q193196,http://www.wikidata.org/entity/Q145,2017:7,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
ETH Zurich - Swiss Federal Institute of Technology,2017,8,94.2,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7.0,"7,733",L,"2,719",http://www.wikidata.org/entity/Q11942,http://www.wikidata.org/entity/Q39,2017:8,CityZurichSwitzerland,CountrySwitzerland,RegionEurope,VeryHigh
Imperial College London,2017,9,94.1,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5.0,"11,143",L,"8,000",http://www.wikidata.org/entity/Q189022,http://www.wikidata.org/entity/Q145,2017:9,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
University of Chicago,2017,10,93.0,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6.0,"4,696",L,"2,703",http://www.wikidata.org/entity/Q131252,http://www.wikidata.org/entity/Q30,2017:10,CityChicagoUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Princeton University,2017,11,92.8,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,Private,Very High,8.0,"1,912",M,"1,050",http://www.wikidata.org/entity/Q21578,http://www.wikidata.org/entity/Q30,2017:11,CityPrincetonUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
National University of Singapore (NUS),2017,12,91.5,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Public,Very High,7.0,"7,551",XL,"4,288",http://www.wikidata.org/entity/Q738236,http://www.wikidata.org/entity/Q334,2017:12,CitySingaporeSingapore,CountrySingapore,RegionAsia,VeryHigh
"Nanyang Technological University, Singapore (NTU)",2017,13,91.4,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6.0,"6,091",L,"3,812",http://www.wikidata.org/entity/Q721064,http://www.wikidata.org/entity/Q334,2017:13,CitySingaporeSingapore,CountrySingapore,RegionAsia,VeryHigh
EPFL,2017,14,91.1,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6.0,"6,426",M,"1,767",http://www.wikidata.org/entity/Q262760,http://www.wikidata.org/entity/Q39,2017:14,CityLausanneSwitzerland,CountrySwitzerland,RegionEurope,VeryHigh
Yale University,2017,15,90.9,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,Private,Very High,2.0,"2,537",M,"5,391",http://www.wikidata.org/entity/Q49112,http://www.wikidata.org/entity/Q30,2017:15,CityNewHavenUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Cornell University,2017,16,90.1,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,Private,Very High,8.0,"5,675",L,"2,843",http://www.wikidata.org/entity/Q49115,http://www.wikidata.org/entity/Q30,2017:16,CityIthacaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Johns Hopkins University,2017,17,89.3,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3.0,"5,070",L,"4,855",http://www.wikidata.org/entity/Q193727,http://www.wikidata.org/entity/Q30,2017:17,CityBaltimoreUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Pennsylvania,2017,18,89.0,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4.0,"4,636",L,"5,154",http://www.wikidata.org/entity/Q49117,http://www.wikidata.org/entity/Q30,2017:18,CityPhiladelphiaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
The University of Edinburgh,2017,19,88.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7.0,"14,637",XL,"4,832",http://www.wikidata.org/entity/Q160302,http://www.wikidata.org/entity/Q145,2017:19,CityEdinburghUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
Columbia University,2017,20,88.6,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg,Private,Very High,4.0,"11,252",L,"7,087",http://www.wikidata.org/entity/Q49088,http://www.wikidata.org/entity/Q30,2017:20,CityNewYorkCityUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
King's College London,2017,21,87.7,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7.0,"15,075",L,"4,216",http://www.wikidata.org/entity/Q245247,http://www.wikidata.org/entity/Q145,2017:21,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
The Australian National University,2017,22,87.3,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,Public,Very High,9.0,"6,496",L,"1,763",http://www.wikidata.org/entity/Q127990,http://www.wikidata.org/entity/Q408,2017:22,CityCanberraAustralia,CountryAustralia,RegionOceania,VeryHigh
University of Michigan-Ann Arbor,2017,23,86.4,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States,Ann Arbor,North America,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,Public,Very High,6.0,"7,341",XL,"7,132",http://www.wikidata.org/entity/Q230492,http://www.wikidata.org/entity/Q30,2017:23,CityAnnArborUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Tsinghua University,2017,24,86.0,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,Public,Very High,6.0,"5,420",XL,"6,174",http://www.wikidata.org/entity/Q16955,http://www.wikidata.org/entity/Q148,2017:24,CityBeijingChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Duke University,2017,24,86.0,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3.0,"3,445",L,"5,673",http://www.wikidata.org/entity/Q168751,http://www.wikidata.org/entity/Q30,2017:24,CityDurhamUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Northwestern University,2017,26,85.7,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5.0,"3,846",L,"3,652",http://www.wikidata.org/entity/Q309350,http://www.wikidata.org/entity/Q30,2017:26,CityEvanstonUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
The University of Hong Kong,2017,27,85.4,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Public,Very High,7.0,"8,311",L,"2,944",http://www.wikidata.org/entity/Q15568,http://www.wikidata.org/entity/Q8646,2017:27,CityHongKongHongKongSAR,CountryHongKongSAR,RegionAsia,VeryHigh
"University of California, Berkeley (UCB)",2017,28,85.2,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,Public,Very High,11.0,"9,428",XL,"3,701",http://www.wikidata.org/entity/Q168756,http://www.wikidata.org/entity/Q30,2017:28,CityBerkeleyUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
The University of Manchester,2017,29,84.8,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8.0,"16,079",XL,"4,889",http://www.wikidata.org/entity/Q230899,http://www.wikidata.org/entity/Q145,2017:29,CityManchesterUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
McGill University,2017,30,84.1,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,Public,Very High,7.0,"10,827",L,"3,876",http://www.wikidata.org/entity/Q201492,http://www.wikidata.org/entity/Q16,2017:30,CityMontrealCanada,CountryCanada,RegionNorthAmerica,VeryHigh
"University of California, Los Angeles (UCLA)",2017,31,84.0,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,Public,Very High,10.0,"6,140",XL,"4,487",http://www.wikidata.org/entity/Q174710,http://www.wikidata.org/entity/Q30,2017:31,CityLosAngelesUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
